24.08.2019_07:30:59 [CRITICAL] mksbase._set_args  --  running <X> fx [runSeq] - Number of arguments (2)
24.08.2019_07:30:59 [INFO    ] app_env.get_env_vars  -- No env vars to load
24.08.2019_07:30:59 [INFO    ] app_conf.load_app_config  -- Loading config file : D:\Projects\python\debug\config\ventas.cfg
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- Config File Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- App Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1803840
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6838-09-30 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43664.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-20 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1803733
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6838-06-15 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43664.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-20 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1568361
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6194-01-10 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43664.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-20 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => FARMACIA
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 379.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 1901-01-15 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1779068
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6770-12-04 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1779282
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6771-07-06 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1726868
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6628-01-03 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 0334031
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2814-07-19 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1736875
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6655-05-28 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 0962977
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 4536-07-17 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 0348034
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2852-11-19 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 0403094
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 3003-08-21 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1826447
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6900-08-23 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1826340
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6900-05-08 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43671.0
